area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s91p91,s91p92,s91p93,s91p94,s91p95,s91p96,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo,NEW_VARIABLE,ID_1,NAME_1
1,10150,3203,28,6,1,3,1,2,2,1,2,2,1,2,2,2,3,2,2,2,2,2,5,4,5,5,5,1,1,5,5,2711,86.37849034,10150003203,1015000320302806,10150003203028061,202210,1,1,Azuay
1,10150,3203,28,7,1,3,1,5,5,1,1,2,2,2,2,1,5,2,2,2,2,2,5,5,5,5,5,1,5,4,5,2711,86.37849034,10150003203,1015000320302807,10150003203028071,202210,1,1,Azuay
1,10150,3203,28,9,1,3,1,1,1,1,2,2,1,2,2,1,3,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2711,86.37849034,10150003203,1015000320302809,10150003203028091,202210,1,1,Azuay
1,10150,3806,25,1,1,3,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,5,5,4,3,5,4,5,2711,107.3904052,10150003806,1015000380602501,10150003806025011,202210,1,1,Azuay
1,10150,3806,25,2,1,3,1,2,2,2,1,2,2,2,1,2,3,2,1,2,2,1,4,4,3,3,3,5,3,3,2,2711,107.3904052,10150003806,1015000380602502,10150003806025021,202210,1,1,Azuay
1,10150,3806,25,3,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,1,5,5,2711,107.3904052,10150003806,1015000380602503,10150003806025031,202210,1,1,Azuay
1,10150,3806,25,4,1,3,1,4,4,1,2,2,2,2,1,2,4,2,2,1,2,2,2,4,4,4,3,3,3,4,3,2711,107.3904052,10150003806,1015000380602504,10150003806025041,202210,1,1,Azuay
1,10150,3806,25,5,1,3,1,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,3,2,1,2,3,4,5,2,3,2711,107.3904052,10150003806,1015000380602505,10150003806025051,202210,1,1,Azuay
1,10150,3806,25,6,1,3,1,4,1,1,1,2,2,2,1,2,1,2,1,2,2,2,3,3,4,4,4,3,4,3,3,2711,107.3904052,10150003806,1015000380602506,10150003806025061,202210,1,1,Azuay
1,10150,3806,25,7,1,3,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,4,3,3,3,3,4,2,2711,107.3904052,10150003806,1015000380602507,10150003806025071,202210,1,1,Azuay
1,10150,5103,25,1,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.8432,10150005103,1015000510302501,10150005103025011,202210,1,1,Azuay
1,10150,5103,25,2,1,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.8432,10150005103,1015000510302502,10150005103025021,202210,1,1,Azuay
1,10150,5103,25,3,1,3,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,5,5,5,5,5,1,1,1,1,2713,224.8432,10150005103,1015000510302503,10150005103025031,202210,1,1,Azuay
