area,ciudad,conglomerado,panelm,vivienda,hogar,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p5a,s101p5b,s101p5c,s101p5d,s101p5e,s101p5f,s101p5g,s101p51a,s101p52a,s101p51b,s101p52b,s101p51c,s101p52c,s101p51d,s101p52d,s101p51e,s101p52e,s101p51f,s101p52f,s101p51g,s101p52g,s101p51h,s101p52h,s101p51i,s101p52i,s101p51j,s101p52j,s101p51k,s101p52k,s101p51l,s101p52l,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,estrato,fexp,upm,id_vivienda,id_hogar
2,30650,203,17,1,1,2,2,2,2,2,2,3,3,3,3,3,3,6,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,323,72.22083045,30650000203,3.065E+15,3.065E+16
2,30650,203,17,2,1,2,2,1,2,2,2,3,3,2,3,3,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,323,72.22083045,30650000203,3.065E+15,3.065E+16
2,30650,203,17,3,1,1,1,1,1,1,2,5,2,2,2,2,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,323,72.22083045,30650000203,3.065E+15,3.065E+16
2,30650,203,17,4,1,1,2,2,2,2,2,2,3,3,3,3,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,323,72.22083045,30650000203,3.065E+15,3.065E+16
2,30650,203,17,5,1,1,1,1,1,1,2,5,2,2,2,2,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,323,72.22083045,30650000203,3.065E+15,3.065E+16
2,30650,203,17,6,1,2,2,2,2,2,2,3,7,7,7,7,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,2,1,2,2,2,2,1,1,2,2,1,2,2,323,72.22083045,30650000203,3.065E+15,3.065E+16
2,30650,203,17,7,1,2,2,2,2,2,2,3,3,3,3,3,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,2,6,2,2,2,3,7,,7,,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,323,72.22083045,30650000203,3.065E+15,3.065E+16
2,30650,204,33,1,1,2,2,2,2,2,2,3,3,7,7,7,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,323,87.69522195,30650000204,3.065E+15,3.065E+16
2,30650,204,33,2,1,2,2,2,2,2,2,3,3,3,7,3,7,6,8,4,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,5,5,7,,7,,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,323,87.69522195,30650000204,3.065E+15,3.065E+16
2,30650,204,33,3,1,2,2,2,2,2,2,3,3,3,7,7,7,8,8,4,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,323,87.69522195,30650000204,3.065E+15,3.065E+16
2,30650,204,33,4,1,2,2,2,2,2,2,3,4,3,7,7,7,8,8,4,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,323,87.69522195,30650000204,3.065E+15,3.065E+16
2,30650,204,33,5,1,2,2,2,2,2,2,3,3,3,7,3,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,323,87.69522195,30650000204,3.065E+15,3.065E+16
2,30650,204,33,6,1,2,2,2,2,2,2,3,3,3,7,3,7,8,8,8,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,323,87.69522195,30650000204,3.065E+15,3.065E+16
2,30650,204,33,7,1,2,2,2,2,2,2,3,3,3,7,7,7,8,8,3,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,323,87.69522195,30650000204,3.065E+15,3.065E+16
1,40150,805,18,1,1,2,2,1,2,2,2,3,3,2,3,3,3,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,5,3,7,,7,,1,1,1,1,2,2,2,2,1,1,2,1,1,2,2,412,120.7915288,40150000805,4.015E+15,4.015E+16
1,40150,805,18,2,1,2,2,2,2,2,2,3,3,3,3,3,3,6,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,412,120.7915288,40150000805,4.015E+15,4.015E+16
1,40150,805,18,3,1,2,1,1,2,1,2,3,2,2,3,6,3,8,3,5,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,412,120.7915288,40150000805,4.015E+15,4.015E+16
1,40150,805,18,4,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,412,120.7915288,40150000805,4.015E+15,4.015E+16
1,40150,805,18,5,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,412,120.7915288,40150000805,4.015E+15,4.015E+16
1,40150,805,18,6,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,2,2,2,2,2,2,1,2,1,1,1,2,412,120.7915288,40150000805,4.015E+15,4.015E+16
1,40150,805,18,7,1,2,2,2,2,2,2,3,3,3,3,7,7,3,3,3,8,8,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,412,120.7915288,40150000805,4.015E+15,4.015E+16
1,40150,1001,19,1,1,2,1,1,2,2,2,3,2,2,3,7,3,8,3,8,8,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,2,2,2,2,2,1,1,2,2,1,2,2,413,128.2475855,40150001001,4.015E+15,4.015E+16
1,40150,1001,19,2,1,2,2,2,2,2,2,3,3,3,3,3,3,8,3,8,8,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,413,128.2475855,40150001001,4.015E+15,4.015E+16
1,40150,1001,19,3,1,2,2,2,2,2,2,3,3,3,3,3,3,8,3,8,8,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,413,128.2475855,40150001001,4.015E+15,4.015E+16
1,40150,1001,19,4,1,2,2,2,2,2,2,3,3,3,3,3,3,8,3,8,8,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,413,128.2475855,40150001001,4.015E+15,4.015E+16
1,40150,1001,19,5,1,2,1,2,2,2,2,3,2,3,3,7,7,8,3,8,8,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,2,2,1,2,2,1,2,2,1,1,2,413,128.2475855,40150001001,4.015E+15,4.015E+16
1,40150,1001,19,6,1,2,1,1,2,2,2,3,2,2,3,3,3,8,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,1,1,1,2,2,1,1,2,2,1,1,2,413,128.2475855,40150001001,4.015E+15,4.015E+16
1,40150,1001,19,7,1,1,2,1,2,2,2,2,3,2,3,3,3,8,3,8,8,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,413,128.2475855,40150001001,4.015E+15,4.015E+16
1,40150,1701,17,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,3,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,412,178.4681508,40150001701,4.015E+15,4.015E+16
1,40150,1701,17,2,1,2,2,2,2,2,2,3,3,3,3,3,3,8,4,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,1,2,2,2,2,1,1,2,2,1,2,2,412,178.4681508,40150001701,4.015E+15,4.015E+16
1,40150,1701,17,3,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,3,7,,7,,1,4,1,4,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,2,1,2,2,2,1,1,2,1,1,1,2,412,178.4681508,40150001701,4.015E+15,4.015E+16
1,40150,1701,17,4,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,3,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,412,178.4681508,40150001701,4.015E+15,4.015E+16
1,40150,1701,17,5,1,2,2,2,2,2,2,3,3,3,3,3,3,1,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,412,178.4681508,40150001701,4.015E+15,4.015E+16
1,40150,1701,17,6,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,412,178.4681508,40150001701,4.015E+15,4.015E+16
1,40150,1701,17,7,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,412,178.4681508,40150001701,4.015E+15,4.015E+16
1,40150,5102,17,1,1,2,1,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,8,3,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,412,700.0737028,40150005102,4.015E+15,4.015E+16
1,40150,5102,17,2,1,2,2,1,2,2,2,3,3,2,3,3,3,8,3,3,3,3,8,8,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,2,1,1,2,1,2,2,2,2,1,2,1,1,1,2,412,700.0737028,40150005102,4.015E+15,4.015E+16
